,Balekambang Beach,Bromo Tengger Semeru National Park,Coban Rondo Waterfall,Goa Cina Beach,Jodipan Colorful Village,Jomblang Cave,Kalibiru National Park,Khayangan Reflexology & Massage,Kuta Beach - Bali,Malang City Square,Malioboro Road,Merapi Volcano,Mount Semeru Volcano,Museum Malang Tempo Doeloe,Nusa Dua Beach,Ramayana Ballet at Prambanan,Ratu Boko Temple,Sacred Monkey Forest Sanctuary,Sanur Beach,Seminyak Beach,Sempu Island,Sewu Temple,Tanah Lot Temple,Tegalalang Rice Terrace,Tegenungan Waterfall,Ullen Sentalu Museum,Uluwatu Temple,Water Castle (Tamansari),Waterbom Bali,Yogyakarta Palace
Malioboro Road,0.007865311274177307,0.030244965194087897,0.015967106224457413,0.019805603037748164,0.02643493559256119,0.0,0.0,0.012258907841185497,0.019123577611188953,0.028050170191147954,1.0000000000000007,0.0,0.017864729401993937,0.0,0.010322827955778211,0.0,0.0,0.00999381500968005,0.01432894202363907,0.007782698979948375,0.00970130207361967,0.0,0.015419435817632568,0.0138753560109434,0.009945163674630114,0.0,0.015645331177703895,0.0,0.0037065922617472258,0.0
Merapi Volcano,0.0,0.02377922176586593,0.0032207170719770546,0.0,0.0073244199705753505,0.0,0.0,0.007246119315708453,0.009036359085827778,0.006574312575279627,0.0,0.9999999999999999,0.008890556710801429,0.007500206049869159,0.00829838376886742,0.0,0.0,0.013244201725238726,0.007166011648893351,0.00809297225588244,0.01981932580648335,0.0,0.016316711273532465,0.007885782743041497,0.006468852049489846,0.0,0.01902325796770321,0.0,0.005485894012174897,0.0
Mount Semeru Volcano,0.0062268066858419645,0.09113380647587943,0.0,0.04046372232364041,0.0,0.0,0.017302861481112486,0.024262818929120727,0.002539870840089943,0.05733709586240791,0.017864729401993937,0.008890556710801429,1.0000000000000004,0.08665499965338,0.0,0.012376484130407437,0.011962736797529119,0.0022633141841358812,0.001589736215127015,0.0007381874060302198,0.10320434293012767,0.008917474260570145,0.0040746897857466295,0.004825469505863384,0.007621301787930575,0.020698738490586434,0.0024864830958888323,0.005863015140476115,0.0012666619746206959,0.014538423336127858
Museum Malang Tempo Doeloe,0.059506944865722396,0.04743441985843721,0.029445747114335327,0.05075366567489734,0.0,0.0,0.0,0.0,0.0,0.04696682183138621,0.0,0.007500206049869159,0.08665499965338,0.9999999999999999,0.004443103792339055,0.0,0.01714841864303335,0.0,0.0,0.0,0.048167164724278275,0.017044102248165216,0.0017972343869289823,0.0,0.0,0.023139926135783532,0.0,0.014407802663650498,0.0,0.0
Nusa Dua Beach,0.0,0.005988696524339955,0.0,0.0,0.0047393107118283255,0.0,0.0,0.0,0.04898563465232813,0.0,0.010322827955778211,0.00829838376886742,0.0,0.004443103792339055,0.9999999999999998,0.0024442608898548037,0.002031792104146113,0.06640696270917311,0.04302432640839403,0.05346601467242018,0.0,0.00714879072770306,0.06070601690288781,0.06166476532485365,0.04426710337817664,0.006146675271397856,0.05810320099314311,0.001493691795263226,0.04461780842181767,0.00276267012976757
Ramayana Ballet at Prambanan,0.0,0.0197123013106662,0.009071345435189913,0.0,0.011442592585084548,0.0,0.0,0.01632730846166338,0.005697229545623869,0.014055657727627263,0.0,0.0,0.012376484130407437,0.0,0.0024442608898548037,1.0000000000000002,0.0,0.010964248453573733,0.0058006374338751675,0.0021111976907100113,0.0,0.0,0.009565371245469755,0.0038669085266176836,0.0014554258180889173,0.0,0.0051243047383644335,0.0,0.0006392862110347088,0.0
Ratu Boko Temple,0.0,0.019676298449607978,0.0,0.0,0.0,0.0,0.0,0.0,0.006567254020963538,0.0,0.0,0.0,0.011962736797529119,0.01714841864303335,0.002031792104146113,0.0,0.9999999999999993,0.002614048336800066,0.003242103904285536,0.0,0.0,0.0,0.005479062696304635,0.0015815973158779298,0.003600663255561209,0.0,0.00665559189964492,0.0,0.0012916135690472634,0.0
Sacred Monkey Forest Sanctuary,0.002353567722287689,0.00796567472064544,0.004488612499633265,0.005974302142668431,0.0014831678854450444,0.004026070075548252,0.00040875141083305156,0.0017195065935580718,0.06471601750556423,0.004256980555772465,0.00999381500968005,0.013244201725238726,0.0022633141841358812,0.0,0.06640696270917311,0.010964248453573733,0.002614048336800066,1.0000000000000002,0.08589478423270137,0.08600884651010154,0.0022679362492695537,0.007053968263023087,0.11347183211973784,0.2681848945902154,0.16988892660002136,0.005041038709879658,0.10158225568581483,0.004837747228223092,0.10843054131377154,0.011343262911359316
Sanur Beach,0.01157190772880818,0.008484962656380726,0.007687836402394733,0.003133243656000115,0.0,0.0,0.0013398194197934818,0.0,0.055158886084069964,0.013530838441215488,0.01432894202363907,0.007166011648893351,0.001589736215127015,0.0,0.04302432640839403,0.0058006374338751675,0.003242103904285536,0.08589478423270137,0.9999999999999973,0.059151447712743936,0.0,0.006658193879194092,0.06293891765279064,0.07433401667584684,0.05677072417174077,0.0030442620487242953,0.05598008734456389,0.001037698754850021,0.06153567831621402,0.008877517605043036
Seminyak Beach,0.0,0.006231763914186633,0.0,0.0,0.004514907700201648,0.004192756572858245,0.0,0.0,0.06321854519030763,0.002650635819256556,0.007782698979948375,0.00809297225588244,0.0007381874060302198,0.0,0.05346601467242018,0.0021111976907100113,0.0,0.08600884651010154,0.059151447712743936,0.9999999999999997,0.0,0.008368589647555108,0.07865281987981255,0.07576919417167953,0.062027196413826834,0.004985012620410482,0.06201262991922462,0.005217543997459179,0.05480915422893304,0.0065016008789038
